0,1
train_loss,"[0.7028571963310242, 0.26157712936401367, 0.050627727061510086, 0.019101116806268692, 0.014908370561897755, 0.01098186057060957, 0.009704592637717724, 0.008744988590478897, 0.008102807216346264, 0.007589093875139952, 0.007301745470613241, 0.007055256515741348, 0.006874623242765665, 0.006757484748959541, 0.006663602776825428, 0.006594821810722351, 0.006539389956742525, 0.0064849453046917915, 0.006441600155085325, 0.0064070201478898525, 0.006380008067935705, 0.00635864632204175, 0.00634482316672802, 0.006329616531729698, 0.006318158935755491, 0.006313268095254898, 0.00631331093609333, 0.0063129873014986515, 0.006310716737061739, 0.006312967743724585, 0.006316834595054388, 0.006320532411336899, 0.00632755272090435, 0.006328805815428495, 0.006328408606350422, 0.006329589989036322, 0.006335361395031214, 0.006337139755487442, 0.006341571919620037, 0.006349002011120319, 0.006355251185595989, 0.006361919455230236, 0.006366705521941185, 0.00637059798464179, 0.006374479737132788, 0.006378432735800743, 0.006382286548614502, 0.006385910324752331, 0.006389328744262457, 0.006392591167241335, 0.006395699921995401, 0.0063986643217504025, 0.006401490420103073, 0.006404167506843805, 0.006406709086149931, 0.006409114692360163, 0.006411960814148188, 0.006416210904717445, 0.006418617907911539, 0.00642046332359314, 0.006421951111406088, 0.006423396524041891, 0.006425255909562111, 0.006427940912544727, 0.006429608445614576, 0.006430925335735083, 0.00643197912722826, 0.006432939320802689, 0.006433888804167509, 0.006434759125113487, 0.0064355055801570415, 0.006436129100620747, 0.006436626426875591, 0.006437011528760195, 0.0064372713677585125, 0.006437433883547783, 0.006437478121370077, 0.006437423173338175, 0.006437263917177916, 0.006437001749873161, 0.006436637602746487, 0.006436166353523731, 0.006435589399188757, 0.0064344583079218864, 0.006432135123759508, 0.006430977955460548, 0.00643011461943388, 0.006429374683648348, 0.0064285267144441605, 0.006427433341741562, 0.00642617279663682, 0.006424819119274616, 0.0064233941957354546, 0.0064219082705676556, 0.006419879850000143, 0.006418000906705856, 0.0064163412898778915, 0.0064146751537919044, 0.006412861868739128, 0.006410911213606596, 0.006408861372619867, 0.00640674727037549, 0.006404504179954529, 0.0064022121950984, 0.006398647557944059, 0.006396862678229809, 0.006394973490387201, 0.006392370909452438, 0.006389295682311058, 0.006385412998497486, 0.006380629725754261, 0.006377880461513996, 0.006375015247613192, 0.006371291819959879, 0.006368509493768215, 0.00636579655110836, 0.0063631897792220116, 0.0063596428371965885, 0.006356088910251856, 0.006353375501930714, 0.0063501461409032345, 0.006346378941088915, 0.006342296022921801, 0.006338793784379959, 0.006335150450468063, 0.006331116426736116, 0.006325695663690567, 0.006318994332104921, 0.006313655525445938, 0.006308611482381821, 0.006301925051957369, 0.006294948980212212, 0.00628882460296154, 0.006282208953052759, 0.006274350918829441, 0.006265778094530106, 0.0062568397261202335, 0.006247460842132568, 0.0062367869541049, 0.006226050667464733, 0.006214763969182968, 0.006204735487699509, 0.006192936096340418, 0.006178473122417927, 0.006162781734019518, 0.00614730641245842, 0.006131949834525585, 0.006118676625192165, 0.006106519140303135, 0.006092461291700602, 0.0060755107551813126, 0.006058571860194206, 0.006044366396963596, 0.006032458506524563, 0.006019554100930691, 0.006003724876791239, 0.0059888046234846115, 0.005974119994789362, 0.005961782298982143, 0.005951342638581991, 0.005939683876931667, 0.0059282719157636166, 0.005916384980082512, 0.0059052384458482265, 0.00589487561956048, 0.005884538870304823, 0.005870478227734566, 0.0058625550009310246, 0.005854702088981867, 0.005846289452165365, 0.005839160643517971, 0.005832839757204056, 0.005826152395457029, 0.005819462705403566, 0.0058129699900746346, 0.005806595552712679, 0.005797143094241619, 0.005789603106677532, 0.005782044027000666, 0.005774860270321369, 0.005767701659351587, 0.005762512795627117, 0.0057573080994188786, 0.005750397220253944, 0.005742396228015423, 0.005735708866268396, 0.005727455019950867, 0.005724057089537382, 0.005716661922633648, 0.005709076300263405, 0.005701204761862755, 0.005693347658962011, 0.005685122217983007, 0.005677155219018459, 0.005669688805937767, 0.005662141367793083, 0.005654333624988794, 0.00564724812284112, 0.005640359129756689, 0.005632809828966856, 0.005625909194350243, 0.005617052782326937, 0.00560927577316761, 0.005600944627076387, 0.005592401139438152, 0.005582838784903288, 0.00557341706007719, 0.0055637480691075325, 0.00555645115673542, 0.005549685563892126, 0.005541959777474403, 0.005533220712095499, 0.005523666273802519, 0.005509695503860712, 0.005496249068528414, 0.005484870169311762, 0.005474737845361233, 0.005464909132570028, 0.005454949103295803, 0.005444573704153299, 0.00543430307880044, 0.005423927679657936, 0.0054131378419697285, 0.005402415990829468, 0.0053916675969958305, 0.005381245166063309, 0.005370929837226868, 0.005359726957976818, 0.0053490931168198586, 0.005338969174772501, 0.005328674800693989, 0.005318596493452787, 0.005308401770889759, 0.005298266187310219, 0.005288370419293642, 0.005278610158711672, 0.005268792621791363, 0.005256368312984705, 0.005247326102107763, 0.005238193087279797, 0.005231714807450771, 0.005222970619797707, 0.005212836433202028, 0.005206133704632521, 0.005195123143494129, 0.005182022228837013, 0.0051688384264707565, 0.005154200829565525, 0.005142607726156712, 0.005130822770297527, 0.00511891720816493, 0.005111255217343569, 0.005101917777210474, 0.005088663659989834, 0.005078650079667568, 0.005063852295279503, 0.0050507658161222935, 0.005034659989178181, 0.005023567471653223, 0.005012377630919218, 0.005006524734199047, 0.0050074392929673195, 0.005016574636101723, 0.005020169075578451, 0.004976129624992609, 0.004911852069199085, 0.004871746525168419, 0.004848514683544636, 0.004834949038922787, 0.004824149888008833, 0.0048202089965343475, 0.00481583783403039, 0.004807294812053442, 0.004801912698894739, 0.004789882339537144, 0.0047724563628435135, 0.004753933288156986, 0.004737417213618755, 0.004727502353489399, 0.004720394499599934, 0.004714342765510082, 0.0047141192480921745, 0.0047094086185097694, 0.004708899650722742, 0.004705450031906366, 0.004709114320576191, 0.004716854076832533, 0.004747240338474512, 0.004845787771046162, 0.005064129829406738, 0.005239206366240978, 0.005068453028798103, 0.004809967707842588, 0.004688587971031666, 0.004636028781533241, 0.004622001200914383, 0.004621374420821667, 0.004641690757125616, 0.004715199116617441, 0.004721031524240971, 0.004568943288177252, 0.004499530885368586, 0.004514703527092934, 0.004542205017060041, 0.004541912581771612, 0.004513893276453018, 0.0044930861331522465, 0.004486816003918648, 0.004488508217036724, 0.004490279126912355, 0.004488285630941391, 0.004482630640268326, 0.004472086671739817, 0.004463383927941322, 0.004459171090275049, 0.004457265604287386, 0.004455236718058586, 0.0044535184279084206, 0.004450035281479359, 0.004445261787623167, 0.00444147689267993, 0.004440249875187874, 0.0044405157677829266, 0.004441197495907545, 0.004449225030839443, 0.004456206224858761, 0.0044525014236569405, 0.004438390024006367, 0.004423783626407385, 0.004412499256432056, 0.00440350454300642, 0.0043932716362178326, 0.00438303779810667, 0.004374694544821978, 0.00436734315007925, 0.004360067658126354, 0.0043539805337786674, 0.004349953960627317, 0.004346118774265051, 0.004344101995229721, 0.004343145061284304, 0.004340497776865959, 0.004338888451457024, 0.004340420477092266, 0.004342115018516779, 0.004339155741035938, 0.004334341734647751, 0.004331895615905523, 0.004329811781644821, 0.0043226443231105804, 0.004314168822020292, 0.004309620708227158, 0.00430288864299655, 0.004289116244763136, 0.004277910105884075, 0.004273208789527416, 0.004264671355485916, 0.004250242840498686, 0.004244149662554264, 0.004239938221871853, 0.004229272715747356, 0.004222660791128874, 0.004222468938678503, 0.0042183552868664265, 0.004210556857287884, 0.004203842952847481, 0.004196527414023876, 0.004189867526292801, 0.004179701209068298, 0.00416977982968092, 0.004157938063144684, 0.004154960159212351, 0.004143569618463516, 0.004136031959205866, 0.004119632299989462, 0.004118553828448057, 0.004102442413568497, 0.004098749719560146, 0.0040814527310431, 0.004082160070538521, 0.0040709045715630054, 0.004063071683049202, 0.00405013095587492, 0.004042721353471279, 0.004037315957248211, 0.004021414555609226, 0.004012488294392824, 0.0040053268894553185, 0.004001283552497625, 0.003993702586740255, 0.003975796513259411, 0.0039623090997338295, 0.003957661334425211, 0.003952354658395052, 0.003942036535590887, 0.003928991965949535, 0.003907328937202692, 0.003902012947946787, 0.0038963803090155125, 0.003883979981765151, 0.0038710073567926884, 0.0038606184534728527, 0.003846048377454281, 0.0038399004843086004, 0.003835803596302867, 0.003830303903669119, 0.003825545310974121, 0.0038197380490601063, 0.003815790405496955, 0.003814210882410407, 0.0038136031944304705, 0.0038126048166304827, 0.003812969895079732, 0.0038174823857843876, 0.0038261646404862404, 0.0038412243593484163, 0.0038667137268930674, 0.003901509568095207, 0.003940308466553688, 0.003984386567026377, 0.004037149250507355, 0.004106034524738789, 0.004204834811389446, 0.004373481497168541, 0.004769082181155682, 0.005391138140112162, 0.00520719587802887, 0.005040766671299934, 0.004837514366954565, 0.004328104667365551, 0.004429933615028858, 0.004002786707133055, 0.003905621124431491, 0.003933785483241081, 0.003958973102271557, 0.0039181276224553585, 0.003843802260234952, 0.003811422036960721, 0.003828168148174882, 0.0038487017154693604, 0.0038608117029070854, 0.0038640943821519613, 0.0038659400306642056, 0.0038745657075196505, 0.0038877057377249002, 0.0039049778133630753, 0.0039125471375882626, 0.0039365761913359165, 0.0039560250006616116, 0.003969042561948299, 0.003939977381378412, 0.0038653321098536253, 0.0037820981815457344, 0.0037236763164401054, 0.0037032656837254763, 0.003716421080753207, 0.0037482338957488537, 0.0037759828846901655, 0.0037874963600188494, 0.0037894761189818382, 0.0037927115336060524, 0.0038061526138335466, 0.0038322668988257647, 0.00386822666041553, 0.003910508006811142, 0.003955272492021322, 0.004013133235275745, 0.004099619574844837, 0.004264052025973797, 0.0046630604192614555, 0.004883411340415478, 0.004264984279870987, 0.004164529964327812, 0.0040333326905965805, 0.003858467098325491, 0.003772134892642498, 0.0038054620381444693, 0.0038428527768701315, 0.003902405733242631, 0.003964756615459919, 0.004009677097201347, 0.004061451181769371, 0.004205407574772835, 0.003921183757483959, 0.0037599606439471245, 0.0037753365468233824, 0.0038427638355642557, 0.0037665069103240967, 0.003701037960126996, 0.003681494388729334, 0.0036963997408747673, 0.0037179184146225452, 0.0037145500537008047, 0.00367868784815073, 0.0036318665370345116, 0.0035966765135526657, 0.003576230024918914, 0.003567699808627367, 0.003564321668818593, 0.0035609412007033825]"
test_loss_list,"[0.4050746560096741, 0.09366366267204285, 0.01686565950512886, 0.017466116696596146, 0.012483906000852585, 0.011065349914133549, 0.010443847626447678, 0.009864670224487782, 0.009298166260123253, 0.009137053042650223, 0.008879989385604858, 0.0087014464661479, 0.00860217772424221, 0.008510933257639408, 0.008452916517853737, 0.00841852743178606, 0.008374417200684547, 0.008337777107954025, 0.00831842701882124, 0.008299843408167362, 0.008293122053146362, 0.008303245529532433, 0.008297989144921303, 0.008296915329992771, 0.008306504227221012, 0.00833186600357294, 0.008350197225809097, 0.00836342666298151, 0.008380373939871788, 0.008404159918427467, 0.008424014784395695, 0.008454425260424614, 0.008478710427880287, 0.008490227162837982, 0.008499208837747574, 0.008531750179827213, 0.008544128388166428, 0.008560183458030224, 0.008587743155658245, 0.008611734956502914, 0.008638067170977592, 0.0086587555706501, 0.008676763623952866, 0.008692674338817596, 0.008708825334906578, 0.008724832907319069, 0.008740006946027279, 0.00875436794012785, 0.00876808911561966, 0.008781205862760544, 0.008793785236775875, 0.00880580022931099, 0.00881730392575264, 0.008828283287584782, 0.00883878581225872, 0.0088488245382905, 0.008865466341376305, 0.008876271545886993, 0.008885718882083893, 0.008893447928130627, 0.008900336921215057, 0.008907472714781761, 0.008918498642742634, 0.00892629474401474, 0.00893327221274376, 0.008939264342188835, 0.008944644592702389, 0.00894999224692583, 0.008955301716923714, 0.008960290811955929, 0.00896498467773199, 0.00896936934441328, 0.008973478339612484, 0.008977300487458706, 0.008980879560112953, 0.008984324522316456, 0.00898753385990858, 0.008990497328341007, 0.008993251249194145, 0.008995835669338703, 0.008998219855129719, 0.009000374004244804, 0.009002318605780602, 0.008998212404549122, 0.008997973054647446, 0.008998434990644455, 0.008999790996313095, 0.009001505561172962, 0.009002716280519962, 0.00900345016270876, 0.00900394655764103, 0.009004289284348488, 0.009004572406411171, 0.009004858322441578, 0.009004142135381699, 0.00900422316044569, 0.009004790335893631, 0.009005173109471798, 0.009005271829664707, 0.009005168452858925, 0.009004971012473106, 0.009002584032714367, 0.009003193117678165, 0.008998044766485691, 0.008995873853564262, 0.008997118100523949, 0.008997064083814621, 0.00899546779692173, 0.008993190713226795, 0.008982066996395588, 0.008979810401797295, 0.008977862074971199, 0.008975937031209469, 0.00897214561700821, 0.008966448716819286, 0.008968498557806015, 0.008966097608208656, 0.008960623294115067, 0.008960612118244171, 0.008960510604083538, 0.008959297090768814, 0.008957735262811184, 0.008955884724855423, 0.008957060985267162, 0.00895647332072258, 0.008956048637628555, 0.008949065580964088, 0.008944962173700333, 0.008946106769144535, 0.008944827131927013, 0.008939428254961967, 0.008937009610235691, 0.00893657561391592, 0.00893392413854599, 0.00892965029925108, 0.008925231173634529, 0.00892074964940548, 0.008915948681533337, 0.008908762596547604, 0.008902144618332386, 0.008895602077245712, 0.008892756886780262, 0.008885079994797707, 0.008876456879079342, 0.0088709257543087, 0.008858936838805676, 0.008851340040564537, 0.008845030330121517, 0.008841522969305515, 0.008826712146401405, 0.008809405378997326, 0.00879580620676279, 0.008786289021372795, 0.00877726823091507, 0.008764628320932388, 0.00874796137213707, 0.00873386487364769, 0.008720180951058865, 0.008716612122952938, 0.008708328939974308, 0.008700171485543251, 0.00868856068700552, 0.008677679114043713, 0.008667487651109695, 0.00865933857858181, 0.008647006005048752, 0.008627760224044323, 0.008632063865661621, 0.008622991852462292, 0.008619406260550022, 0.008616662584245205, 0.00861440971493721, 0.008609279058873653, 0.00860566832125187, 0.008602987974882126, 0.008599046617746353, 0.008586801588535309, 0.008587013930082321, 0.008577308617532253, 0.00857569556683302, 0.008571288548409939, 0.008584604598581791, 0.008579771034419537, 0.008574772626161575, 0.008574106730520725, 0.008556807413697243, 0.008574162609875202, 0.008567187935113907, 0.008564460091292858, 0.00856303796172142, 0.008554408326745033, 0.008551005274057388, 0.008547910489141941, 0.008542533032596111, 0.0085390480235219, 0.008535763248801231, 0.00853125099092722, 0.008531365543603897, 0.008527872152626514, 0.008526007644832134, 0.008518916554749012, 0.008517047390341759, 0.00850970484316349, 0.008506132289767265, 0.008499762043356895, 0.008490795269608498, 0.008481868542730808, 0.008476264774799347, 0.00847661029547453, 0.008474557660520077, 0.008469395339488983, 0.008464143611490726, 0.008456546813249588, 0.008438208140432835, 0.008429217152297497, 0.008423110470175743, 0.008419611491262913, 0.008417784236371517, 0.008415866643190384, 0.00841598492115736, 0.008418254554271698, 0.008422085084021091, 0.008425659500062466, 0.00843309797346592, 0.008439571596682072, 0.008449953980743885, 0.008457106538116932, 0.008462881669402122, 0.008471924811601639, 0.008478225208818913, 0.008483877405524254, 0.008488012477755547, 0.008490053005516529, 0.008490906096994877, 0.008490162901580334, 0.008488642983138561, 0.008472024463117123, 0.008463926613330841, 0.008451703004539013, 0.00845804251730442, 0.008456673473119736, 0.008450642228126526, 0.008456380106508732, 0.00846050027757883, 0.008450264111161232, 0.008452373556792736, 0.0084415003657341, 0.008439505472779274, 0.008442511782050133, 0.008435857482254505, 0.008447881788015366, 0.008465290069580078, 0.008473962545394897, 0.008490967564284801, 0.00850690621882677, 0.008516255766153336, 0.008519557304680347, 0.008532322011888027, 0.008532392792403698, 0.008550196886062622, 0.008582260459661484, 0.008632744662463665, 0.008691760711371899, 0.008678696118295193, 0.008561613969504833, 0.008474054746329784, 0.008432816714048386, 0.008416797034442425, 0.008400995284318924, 0.008401078172028065, 0.008412177674472332, 0.008402225561439991, 0.008417767472565174, 0.008409873582422733, 0.008393087424337864, 0.008361504413187504, 0.008334094658493996, 0.008314069360494614, 0.008313561789691448, 0.008309146389365196, 0.00833737850189209, 0.008349183015525341, 0.008381503634154797, 0.008397942408919334, 0.008424338884651661, 0.008452419191598892, 0.008477620780467987, 0.008541682735085487, 0.00874869804829359, 0.009232481941580772, 0.009142509661614895, 0.00896952860057354, 0.008707819506525993, 0.008623973466455936, 0.008506201207637787, 0.008454842492938042, 0.008429407142102718, 0.00851140171289444, 0.008571064099669456, 0.0082880649715662, 0.008085791021585464, 0.008126798085868359, 0.008216341957449913, 0.00826274137943983, 0.008234628476202488, 0.008198407478630543, 0.008204033598303795, 0.00822759885340929, 0.008258282206952572, 0.00827568955719471, 0.00827717874199152, 0.008264069445431232, 0.008254477754235268, 0.008261692710220814, 0.008281171321868896, 0.00830033142119646, 0.008314215578138828, 0.00832672044634819, 0.008331215009093285, 0.008331595920026302, 0.008331510238349438, 0.008333355188369751, 0.008325707167387009, 0.008321928791701794, 0.008305172435939312, 0.008273379877209663, 0.008224026300013065, 0.008182081393897533, 0.008156770840287209, 0.00814507994800806, 0.008138341829180717, 0.008133611641824245, 0.008135903626680374, 0.008143983781337738, 0.008153744973242283, 0.008163674734532833, 0.008179385215044022, 0.00819464772939682, 0.008205879479646683, 0.008215130306780338, 0.008219567127525806, 0.008219115436077118, 0.0082198865711689, 0.008220153860747814, 0.008211166597902775, 0.00819893553853035, 0.008191109634935856, 0.008185869082808495, 0.008178511634469032, 0.00816881563514471, 0.008170037530362606, 0.008174411952495575, 0.008173802867531776, 0.008179514668881893, 0.00820117350667715, 0.008215552195906639, 0.008224626071751118, 0.008243654854595661, 0.008271810598671436, 0.008286196738481522, 0.008304680697619915, 0.008327244780957699, 0.008343081921339035, 0.008360079489648342, 0.008375703357160091, 0.008390482515096664, 0.008409757167100906, 0.00842222198843956, 0.00843982957303524, 0.008446779102087021, 0.008475534617900848, 0.008486795239150524, 0.008509918116033077, 0.008513842709362507, 0.008549254387617111, 0.008552188985049725, 0.008584276773035526, 0.008585513569414616, 0.008623983711004257, 0.00863530021160841, 0.00865607988089323, 0.008663040585815907, 0.008672645315527916, 0.008708511479198933, 0.008714471012353897, 0.00872003473341465, 0.008738646283745766, 0.008764314465224743, 0.00878896750509739, 0.00878153182566166, 0.008769604377448559, 0.008789143525063992, 0.00881281029433012, 0.00881959404796362, 0.008828201331198215, 0.008793368004262447, 0.008818453177809715, 0.008843876421451569, 0.008839845657348633, 0.008821883238852024, 0.008833094500005245, 0.008814064785838127, 0.008826494216918945, 0.00883911456912756, 0.008849170058965683, 0.00884795282036066, 0.008840867318212986, 0.008830743841826916, 0.008822387084364891, 0.008825676515698433, 0.008820347487926483, 0.008834155276417732, 0.008862284012138844, 0.008890860714018345, 0.008902667090296745, 0.008909701369702816, 0.008914896287024021, 0.008934957906603813, 0.00898205116391182, 0.009045789949595928, 0.009131809696555138, 0.009228568524122238, 0.00934924092143774, 0.0095604183152318, 0.01024250965565443, 0.010891939513385296, 0.010869640856981277, 0.010969003662467003, 0.01003978867083788, 0.009091299027204514, 0.008451770059764385, 0.008704203180968761, 0.00917019508779049, 0.009264382533729076, 0.009286834858357906, 0.009197430685162544, 0.009152567945420742, 0.00918170902878046, 0.009223862551152706, 0.009245960041880608, 0.009235156700015068, 0.009214602410793304, 0.009203328751027584, 0.009201333858072758, 0.009202728979289532, 0.009183445945382118, 0.009181580506265163, 0.009157865308225155, 0.009123021736741066, 0.009044152684509754, 0.008952775038778782, 0.008871431462466717, 0.008801115676760674, 0.008778905496001244, 0.0088380491361022, 0.008927508257329464, 0.008991697803139687, 0.009065410122275352, 0.009154867380857468, 0.00923812948167324, 0.009294861927628517, 0.009320390410721302, 0.00934106856584549, 0.009376352652907372, 0.009415144100785255, 0.009471756406128407, 0.00954126100987196, 0.009615149348974228, 0.009719201363623142, 0.010240686126053333, 0.010064196772873402, 0.009763921611011028, 0.010092327371239662, 0.009482737630605698, 0.009356887079775333, 0.009238135069608688, 0.009192589670419693, 0.00924854725599289, 0.00927282776683569, 0.009250507690012455, 0.009199918247759342, 0.009126839227974415, 0.008719868957996368, 0.00855125393718481, 0.008832713589072227, 0.009044447913765907, 0.008963045664131641, 0.00894476380199194, 0.009019589051604271, 0.009137723594903946, 0.009210910648107529, 0.009181617759168148, 0.009106787852942944, 0.0090487040579319, 0.009049760177731514, 0.009097123518586159, 0.009154783561825752, 0.009201816283166409, 0.009237050078809261, 0.009266684763133526]"
train_predict,"[0.5189198, 0.63135177, 0.5798306, 0.6479473, 0.5420691, 0.65646935, 0.45652404, 0.63141024, 0.52404165, 0.48359552, 0.60420036, 0.59159607, 0.73317045, 0.5204168, 0.6471376, 0.50579274, 0.5637718, 0.5743752, 0.5104981, 0.77197504, 0.5579736, 0.4510442, 0.69788414, 0.54591984, 0.6474541, 0.627383, 0.67129034, 0.7636214, 0.6962928, 0.49336854, 0.6273834, 0.704492, 0.6693551, 0.50721955, 0.5551049, 0.7918399, 0.45021865, 0.66372854, 0.6618466, 0.6696083, 0.60582775, 0.5978162, 0.6086655, 0.6166917, 0.65606654, 0.5727437, 0.47788283, 0.55714875, 0.653824, 0.51338756, 0.64762586, 0.5109223, 0.5274698, 0.51431125, 0.5234949, 0.6164028, 0.6712534, 0.6365022, 0.52179116, 0.53732425, 0.5161184, 0.73086363, 0.4881806, 0.53070426, 0.6728099, 0.69888103, 0.6953266, 0.4809859, 0.62699234, 0.5691379, 0.4721491, 0.5447082, 0.6371997, 0.58468294, 0.55172914, 0.51398665, 0.5718258, 0.49173155, 0.64153296, 0.6078133, 0.6955071, 0.5064278, 0.5601622, 0.52594334, 0.53998035, 0.6925027, 0.4728535, 0.7746735, 0.50732493, 0.53095305, 0.6107952, 0.46775636, 0.75296175, 0.6836988, 0.5080809, 0.76961774, 0.67449373, 0.59397906, 0.69678015, 0.533861]"
train_label_list,"[0.6068493, 0.6901615, 0.7628788, 0.8246914, 0.4493663, 0.5463323, 0.48345622, 0.65397114, 0.59136045, 0.47786045, 0.48540133, 0.5657412, 0.77142715, 0.4727301, 0.5884682, 0.50154746, 0.66549075, 0.7167386, 0.5874112, 0.674552, 0.56087047, 0.47891256, 0.72918, 0.5926023, 0.77744764, 0.6184471, 0.7647427, 0.8081922, 0.7893903, 0.58247757, 0.7983271, 0.79221016, 0.57583284, 0.47783273, 0.7314861, 0.8026457, 0.47582805, 0.58684003, 0.63376987, 0.2543247, 0.60113895, 0.80001456, 0.67627174, 0.6011156, 0.6626654, 0.5965371, 0.47714266, 0.6398112, 0.8417619, 0.5517773, 0.66484314, 0.4831757, 0.5356697, 0.4483891, 0.53326374, 0.7668707, 0.6209012, 0.5091526, 0.4325496, 0.65946877, 0.49753597, 0.802807, 0.48180076, 0.5083633, 0.6527248, 0.6839191, 0.6226878, 0.450216, 0.5937744, 0.6360278, 0.54188484, 0.61332226, 0.7215686, 0.6769791, 0.55790675, 0.59068674, 0.66597015, 0.47413266, 0.6353983, 0.6729915, 0.8192677, 0.48097876, 0.7153145, 0.5194025, 0.52825606, 0.808043, 0.43005374, 0.47972447, 0.48448312, 0.5504843, 0.57679486, 0.48986533, 0.85861236, 0.78495973, 0.49828792, 0.7943469, 0.53103703, 0.6871666, 0.75384957, 0.70095396]"
validation_pred_list,"[0.5189198, 0.63135177, 0.5798306, 0.6479473, 0.5420691, 0.65646935, 0.45652404, 0.63141024, 0.52404165, 0.48359552, 0.60420036, 0.59159607, 0.73317045, 0.5204168, 0.6471376, 0.50579274, 0.5637718, 0.5743752, 0.5104981, 0.77197504, 0.5579736, 0.4510442, 0.69788414, 0.54591984, 0.6474541, 0.627383, 0.67129034, 0.7636214, 0.6962928, 0.49336854, 0.6273834, 0.704492, 0.6693551, 0.50721955, 0.5551049, 0.7918399, 0.45021865, 0.66372854, 0.6618466, 0.6696083, 0.60582775, 0.5978162, 0.6086655, 0.6166917, 0.65606654, 0.5727437, 0.47788283, 0.55714875, 0.653824, 0.51338756, 0.64762586, 0.5109223, 0.5274698, 0.51431125, 0.5234949, 0.6164028, 0.6712534, 0.6365022, 0.52179116, 0.53732425, 0.5161184, 0.73086363, 0.4881806, 0.53070426, 0.6728099, 0.69888103, 0.6953266, 0.4809859, 0.62699234, 0.5691379, 0.4721491, 0.5447082, 0.6371997, 0.58468294, 0.55172914, 0.51398665, 0.5718258, 0.49173155, 0.64153296, 0.6078133, 0.6955071, 0.5064278, 0.5601622, 0.52594334, 0.53998035, 0.6925027, 0.4728535, 0.7746735, 0.50732493, 0.53095305, 0.6107952, 0.46775636, 0.75296175, 0.6836988, 0.5080809, 0.76961774, 0.67449373, 0.59397906, 0.69678015, 0.533861]"
validation_label_list,"[0.6068493, 0.6901615, 0.7628788, 0.8246914, 0.4493663, 0.5463323, 0.48345622, 0.65397114, 0.59136045, 0.47786045, 0.48540133, 0.5657412, 0.77142715, 0.4727301, 0.5884682, 0.50154746, 0.66549075, 0.7167386, 0.5874112, 0.674552, 0.56087047, 0.47891256, 0.72918, 0.5926023, 0.77744764, 0.6184471, 0.7647427, 0.8081922, 0.7893903, 0.58247757, 0.7983271, 0.79221016, 0.57583284, 0.47783273, 0.7314861, 0.8026457, 0.47582805, 0.58684003, 0.63376987, 0.2543247, 0.60113895, 0.80001456, 0.67627174, 0.6011156, 0.6626654, 0.5965371, 0.47714266, 0.6398112, 0.8417619, 0.5517773, 0.66484314, 0.4831757, 0.5356697, 0.4483891, 0.53326374, 0.7668707, 0.6209012, 0.5091526, 0.4325496, 0.65946877, 0.49753597, 0.802807, 0.48180076, 0.5083633, 0.6527248, 0.6839191, 0.6226878, 0.450216, 0.5937744, 0.6360278, 0.54188484, 0.61332226, 0.7215686, 0.6769791, 0.55790675, 0.59068674, 0.66597015, 0.47413266, 0.6353983, 0.6729915, 0.8192677, 0.48097876, 0.7153145, 0.5194025, 0.52825606, 0.808043, 0.43005374, 0.47972447, 0.48448312, 0.5504843, 0.57679486, 0.48986533, 0.85861236, 0.78495973, 0.49828792, 0.7943469, 0.53103703, 0.6871666, 0.75384957, 0.70095396]"
