0,1
train_loss,"[17.15192413330078, 16.054243087768555, 14.884151458740234, 13.329692840576172, 11.234029769897461, 9.23013973236084, 7.272863864898682, 5.3288655281066895, 3.4834237098693848, 2.2347447872161865, 1.6542210578918457, 1.374609351158142, 1.1557503938674927, 0.9718461632728577, 0.8267468810081482, 0.7144460082054138, 0.6340073347091675, 0.5777773261070251, 0.5398954153060913, 0.516328752040863, 0.502091646194458, 0.4934227764606476, 0.48711082339286804, 0.48194652795791626, 0.4772653579711914, 0.4731571078300476, 0.4695940315723419, 0.4664727449417114, 0.4636087119579315, 0.46093952655792236, 0.4583750069141388, 0.4557977020740509, 0.4532823860645294, 0.4506472051143646, 0.4480762481689453, 0.44564300775527954, 0.4433731436729431, 0.4411547780036926, 0.438895583152771, 0.4366764426231384, 0.4345639944076538, 0.4326844811439514, 0.4306563138961792, 0.42809730768203735, 0.4250788390636444, 0.42163071036338806, 0.4182129204273224, 0.4149741232395172, 0.4118550419807434, 0.4089507758617401, 0.40576812624931335, 0.4021877646446228, 0.39855965971946716, 0.3948487937450409, 0.39161086082458496, 0.38856616616249084, 0.38602402806282043, 0.3838147819042206, 0.3819050192832947, 0.3803453743457794, 0.3789559304714203, 0.3776988983154297, 0.3766011893749237, 0.375539094209671, 0.3747083246707916, 0.37382015585899353, 0.3729951083660126, 0.37211939692497253, 0.37141886353492737, 0.3705865442752838, 0.3698309063911438, 0.36907872557640076, 0.3683488368988037, 0.3675684630870819, 0.3668869733810425, 0.3661786615848541, 0.36550259590148926, 0.36479252576828003, 0.36404791474342346, 0.36345916986465454, 0.36269545555114746, 0.36209651827812195, 0.3613736629486084, 0.36065781116485596, 0.3599366843700409, 0.3593131899833679, 0.3586312234401703, 0.3580160140991211, 0.3573417365550995, 0.3565770983695984, 0.3559128940105438, 0.355025976896286, 0.3545014560222626, 0.3537260890007019, 0.3530976176261902, 0.35250794887542725, 0.35182762145996094, 0.351185142993927, 0.3505931496620178, 0.3501071631908417, 0.349498450756073, 0.3489021956920624, 0.34826937317848206, 0.3477671444416046, 0.34715643525123596, 0.3466048836708069, 0.3460755944252014, 0.345571368932724, 0.34505805373191833, 0.34454232454299927, 0.34400802850723267, 0.34347906708717346, 0.3429679870605469, 0.34245502948760986, 0.3419610857963562, 0.3414873480796814, 0.3410026431083679, 0.34048962593078613, 0.34002014994621277, 0.33952796459198, 0.339008092880249, 0.338533490896225, 0.33792644739151, 0.3374428153038025, 0.33691826462745667, 0.33634376525878906, 0.33578985929489136, 0.33526450395584106, 0.33468031883239746, 0.3340812027454376, 0.333577036857605, 0.33302929997444153, 0.33261826634407043, 0.3318507671356201, 0.33165398240089417, 0.3307039737701416, 0.33070337772369385, 0.32945919036865234, 0.3295455276966095, 0.32846328616142273, 0.3281621038913727, 0.32737380266189575, 0.32662802934646606, 0.32650211453437805, 0.3254603147506714, 0.32533904910087585, 0.3245273232460022, 0.32399529218673706, 0.3237188756465912, 0.32245808839797974, 0.3228274881839752, 0.3215686082839966, 0.3213288486003876, 0.32084766030311584, 0.3200373947620392, 0.319635808467865, 0.3195483088493347, 0.3183925151824951, 0.3196810483932495, 0.3171170651912689, 0.3195788860321045, 0.3161337077617645, 0.31927821040153503, 0.3152986764907837, 0.31800633668899536, 0.31435853242874146, 0.3162737190723419, 0.3135296106338501, 0.3151918053627014, 0.31300780177116394, 0.31568196415901184, 0.3122478723526001, 0.31469300389289856, 0.31170281767845154, 0.31462618708610535, 0.3106834292411804, 0.3116762638092041, 0.3093681335449219, 0.3097505271434784, 0.3083009719848633, 0.3092140555381775, 0.307608038187027, 0.30922770500183105, 0.30763229727745056, 0.3120706081390381, 0.30759644508361816, 0.3128233253955841, 0.30839526653289795, 0.3098682761192322, 0.3057655990123749, 0.3074074983596802, 0.30530205368995667, 0.3065946698188782, 0.30475741624832153, 0.30690181255340576, 0.30456724762916565, 0.3102840185165405, 0.3040883541107178, 0.3105849027633667, 0.30438321828842163, 0.30557096004486084, 0.30284383893013, 0.30354681611061096, 0.3016388416290283, 0.3035602867603302, 0.30210521817207336, 0.307529091835022, 0.3017536997795105, 0.30551600456237793, 0.3008323311805725, 0.3045262098312378, 0.3006468713283539, 0.30277392268180847, 0.2993941605091095, 0.30128270387649536, 0.2984076738357544, 0.3001043498516083, 0.2984546720981598, 0.3013952970504761, 0.2989654839038849, 0.305000364780426, 0.2985594868659973, 0.3031650483608246, 0.2971663177013397, 0.2989673614501953, 0.296074777841568, 0.29646700620651245, 0.2949482202529907, 0.29621320962905884, 0.2955182194709778, 0.3027803897857666, 0.29683151841163635, 0.30489614605903625, 0.29569533467292786, 0.29746493697166443, 0.2936452627182007, 0.2943582236766815, 0.29225921630859375, 0.2935316562652588, 0.2917439341545105, 0.29716864228248596, 0.29500120878219604, 0.3116372525691986, 0.2927052974700928, 0.2937324643135071, 0.2899734377861023, 0.2901338040828705, 0.28918179869651794, 0.28920143842697144, 0.2883036136627197, 0.2902369797229767, 0.2892994284629822, 0.297658771276474, 0.29236510396003723, 0.3091621696949005, 0.29110825061798096, 0.29003939032554626, 0.28730306029319763, 0.28689879179000854, 0.2866089642047882, 0.2886538803577423, 0.2879645526409149, 0.2973296642303467, 0.2900732159614563, 0.2950267195701599, 0.2893587648868561, 0.2884427309036255, 0.28682681918144226, 0.28611376881599426, 0.28656208515167236, 0.2951567769050598, 0.2896706461906433, 0.2974625527858734, 0.28935763239860535, 0.2881301939487457, 0.2865927815437317, 0.2857063114643097, 0.2846888303756714, 0.28769880533218384, 0.286339670419693, 0.2971831262111664, 0.2885473370552063, 0.2900921106338501, 0.2852400839328766, 0.2842460870742798, 0.2834656834602356, 0.28295087814331055, 0.2822647988796234, 0.28718236088752747, 0.2856212556362152, 0.3015044331550598, 0.2920335531234741, 0.29545894265174866, 0.28593865036964417, 0.28353604674339294, 0.2819853127002716, 0.28089508414268494, 0.28137874603271484, 0.28176364302635193, 0.28145140409469604, 0.28870585560798645, 0.2842141091823578, 0.2917192280292511, 0.2846836447715759, 0.28258267045021057, 0.28126704692840576, 0.28086531162261963, 0.28084179759025574, 0.2872966229915619, 0.28390514850616455, 0.2923942804336548, 0.28434157371520996, 0.2820006012916565, 0.2807232737541199, 0.279369980096817, 0.27953970432281494, 0.28162986040115356, 0.2806747555732727, 0.28899428248405457, 0.28496021032333374, 0.28886231780052185, 0.2814103960990906, 0.2796790897846222, 0.27830272912979126, 0.27706021070480347, 0.27689337730407715, 0.2770542502403259, 0.27746081352233887, 0.2842867970466614, 0.2814772129058838, 0.2953791320323944, 0.2841874361038208, 0.2793114483356476, 0.27676504850387573, 0.2754390835762024, 0.27478262782096863, 0.27541619539260864, 0.28059321641921997, 0.27925530076026917, 0.29498085379600525, 0.28256452083587646, 0.2782314717769623, 0.27507007122039795, 0.27380457520484924, 0.2730262279510498, 0.2732495069503784, 0.27394917607307434, 0.2740034759044647, 0.2831685543060303, 0.2777179479598999, 0.2877638638019562, 0.27995428442955017, 0.2771115005016327, 0.2737683057785034, 0.27213042974472046, 0.2717616558074951, 0.2720063328742981, 0.2719620168209076, 0.2750283479690552, 0.27536922693252563, 0.29106947779655457, 0.2783364951610565, 0.2756718695163727, 0.2725529968738556, 0.27044612169265747, 0.271272748708725, 0.2728005051612854, 0.2742094397544861, 0.28499552607536316, 0.27468058466911316, 0.27216196060180664, 0.2714196443557739, 0.26962611079216003, 0.2724849283695221, 0.2813100814819336, 0.27445340156555176, 0.27279698848724365, 0.27156415581703186, 0.2699165344238281, 0.2718338072299957, 0.27592262625694275, 0.2715981602668762, 0.2698438763618469, 0.27093926072120667, 0.26901552081108093, 0.27191847562789917, 0.2790939211845398, 0.2715089023113251, 0.26895803213119507, 0.2703227996826172, 0.2678587734699249, 0.2692791819572449, 0.26932454109191895, 0.268511563539505, 0.2735482156276703, 0.27035948634147644, 0.2737777531147003, 0.27113547921180725, 0.2704469561576843, 0.2689008116722107, 0.26776060461997986, 0.26784828305244446, 0.2683309316635132, 0.271697998046875, 0.2848205864429474, 0.27164381742477417, 0.26783517003059387, 0.26653364300727844, 0.26515403389930725, 0.2655743956565857, 0.2649133801460266, 0.26551809906959534, 0.26538389921188354, 0.26685601472854614, 0.274351567029953, 0.26777198910713196, 0.26760587096214294, 0.2682298421859741, 0.266407310962677, 0.26625126600265503, 0.2657245695590973, 0.2660765051841736, 0.2723589837551117, 0.2676035165786743, 0.2680947184562683, 0.26633501052856445, 0.26478686928749084, 0.2652667462825775, 0.26462504267692566, 0.26486659049987793, 0.2669386565685272, 0.2659617066383362, 0.26690909266471863, 0.2659596800804138, 0.26469364762306213, 0.26512810587882996, 0.26689013838768005, 0.26557213068008423, 0.2637706696987152, 0.2640201449394226, 0.2644699513912201, 0.2640314996242523, 0.26272478699684143, 0.26280906796455383, 0.2643295228481293, 0.2642681896686554, 0.2711661458015442, 0.26619431376457214, 0.266438364982605, 0.26358258724212646, 0.2626161575317383, 0.26169875264167786, 0.26014044880867004, 0.2612858712673187, 0.260473370552063, 0.2603227198123932, 0.2603434920310974, 0.26012858748435974, 0.2599164843559265, 0.2595179080963135, 0.2594260275363922, 0.2598523497581482, 0.2609308362007141, 0.26072627305984497, 0.26701024174690247, 0.26272332668304443, 0.26416537165641785, 0.26070013642311096, 0.2606009244918823, 0.25781238079071045, 0.25727126002311707, 0.2567327618598938, 0.2567327916622162, 0.2555359899997711, 0.2562278211116791, 0.2550434172153473, 0.25545310974121094, 0.2545482814311981, 0.2549365758895874, 0.25474175810813904, 0.2535134553909302, 0.2538512349128723, 0.25310423970222473, 0.253714919090271, 0.2529290020465851, 0.25363749265670776, 0.2520809471607208, 0.25212332606315613, 0.2513662576675415, 0.2521567940711975, 0.25122249126434326, 0.25179508328437805, 0.2506054639816284, 0.25059449672698975, 0.2496109902858734, 0.2506733238697052, 0.25012511014938354, 0.24989204108715057, 0.24921005964279175, 0.24888882040977478]"
test_loss_list,"[17.2020206451416, 16.076047897338867, 14.725048065185547, 12.756991386413574, 10.631765365600586, 8.709587097167969, 6.748476505279541, 4.829471588134766, 2.9839839935302734, 2.005154609680176, 1.5832149982452393, 1.3430219888687134, 1.1625866889953613, 1.0178472995758057, 0.9029340147972107, 0.8132858872413635, 0.7462559342384338, 0.6935237646102905, 0.6569839715957642, 0.63243567943573, 0.6172022223472595, 0.60809725522995, 0.6023633480072021, 0.5981695652008057, 0.593890905380249, 0.5892191529273987, 0.5851888656616211, 0.581708550453186, 0.5781040191650391, 0.5747641324996948, 0.571608304977417, 0.5685986280441284, 0.5658574104309082, 0.5632563233375549, 0.5610379576683044, 0.5593023896217346, 0.5577000975608826, 0.5559655427932739, 0.5541941523551941, 0.5526401400566101, 0.551199734210968, 0.5495400428771973, 0.5484020709991455, 0.5470588803291321, 0.5454676747322083, 0.5438498258590698, 0.5416179895401001, 0.5392727851867676, 0.5375900268554688, 0.5359123945236206, 0.5337737798690796, 0.5316331386566162, 0.5289115905761719, 0.5270691514015198, 0.5252007246017456, 0.5241689085960388, 0.5231913328170776, 0.5221943855285645, 0.52131187915802, 0.5207014679908752, 0.5200095176696777, 0.519611656665802, 0.5192625522613525, 0.5191549062728882, 0.5193226337432861, 0.5193665623664856, 0.5188021659851074, 0.5186716318130493, 0.5181915163993835, 0.5180630087852478, 0.5174503326416016, 0.5173196196556091, 0.5163355469703674, 0.5160024166107178, 0.5153916478157043, 0.5145838260650635, 0.5144717693328857, 0.513262152671814, 0.512845516204834, 0.5124043822288513, 0.511389970779419, 0.5108755230903625, 0.510050356388092, 0.509115993976593, 0.5081152319908142, 0.5068787932395935, 0.5067402124404907, 0.5057896971702576, 0.5043034553527832, 0.5028924942016602, 0.5016187429428101, 0.5002212524414062, 0.4995516240596771, 0.49945107102394104, 0.49871063232421875, 0.4976333975791931, 0.4969174265861511, 0.49718108773231506, 0.4971697926521301, 0.49696680903434753, 0.4978641867637634, 0.4982943832874298, 0.4987186789512634, 0.49821802973747253, 0.4984491765499115, 0.49842795729637146, 0.49829140305519104, 0.4986339807510376, 0.4990885853767395, 0.4993276298046112, 0.49975723028182983, 0.5002114772796631, 0.5005752444267273, 0.5009298324584961, 0.5012795925140381, 0.5015401244163513, 0.501740574836731, 0.5023213028907776, 0.5027700662612915, 0.5031272768974304, 0.5036421418190002, 0.503796398639679, 0.5040943622589111, 0.5043063163757324, 0.5044748187065125, 0.5046905279159546, 0.5050112009048462, 0.5053688287734985, 0.5061749219894409, 0.5058286190032959, 0.5070182681083679, 0.5078025460243225, 0.5079655051231384, 0.5088565945625305, 0.5088700652122498, 0.5096462965011597, 0.5095273852348328, 0.5096290707588196, 0.5099222660064697, 0.5101598501205444, 0.5104867815971375, 0.5109589099884033, 0.5110822916030884, 0.5116509795188904, 0.5114519596099854, 0.5105756521224976, 0.5104662179946899, 0.5101940631866455, 0.509715735912323, 0.5093809366226196, 0.5094053745269775, 0.508770227432251, 0.5087074041366577, 0.5083585381507874, 0.5074697732925415, 0.5080344676971436, 0.5069873929023743, 0.5076505541801453, 0.5059173703193665, 0.5059654116630554, 0.5037288665771484, 0.5049266815185547, 0.5031495094299316, 0.5034541487693787, 0.501802921295166, 0.5022609233856201, 0.5007741451263428, 0.500736653804779, 0.49899595975875854, 0.4999368190765381, 0.4985847473144531, 0.498478502035141, 0.4975261390209198, 0.4983668923377991, 0.49645644426345825, 0.49427086114883423, 0.4956110119819641, 0.4943336248397827, 0.4942173361778259, 0.49491292238235474, 0.4920959770679474, 0.4945657253265381, 0.49047282338142395, 0.49427878856658936, 0.48859986662864685, 0.49297288060188293, 0.4834364950656891, 0.48965272307395935, 0.4905109107494354, 0.48597827553749084, 0.48538529872894287, 0.48758965730667114, 0.48358526825904846, 0.4875025153160095, 0.4843059778213501, 0.4896336495876312, 0.4878048598766327, 0.4894390106201172, 0.48304295539855957, 0.4862132966518402, 0.4827793836593628, 0.4851018786430359, 0.4825684428215027, 0.4864919185638428, 0.48127564787864685, 0.48839256167411804, 0.485129714012146, 0.486006498336792, 0.4808486998081207, 0.4863339364528656, 0.4819197356700897, 0.484528511762619, 0.47994205355644226, 0.4842836260795593, 0.4803726077079773, 0.48409661650657654, 0.47958457469940186, 0.4864126443862915, 0.48100706934928894, 0.4879249334335327, 0.4816732108592987, 0.48591509461402893, 0.47966116666793823, 0.4842824637889862, 0.47960716485977173, 0.4837593138217926, 0.47991204261779785, 0.48605674505233765, 0.4810480773448944, 0.49000298976898193, 0.4834062159061432, 0.4886966049671173, 0.4809289276599884, 0.48486271500587463, 0.4785131514072418, 0.4839511513710022, 0.48020118474960327, 0.48591509461402893, 0.480258971452713, 0.48838797211647034, 0.4806680679321289, 0.4924964904785156, 0.49591484665870667, 0.48474907875061035, 0.47700923681259155, 0.48443275690078735, 0.4786735773086548, 0.48457154631614685, 0.48031148314476013, 0.4858165681362152, 0.4806976616382599, 0.489505410194397, 0.4770847260951996, 0.4936297535896301, 0.48625725507736206, 0.48330360651016235, 0.47657302021980286, 0.4812679588794708, 0.47875115275382996, 0.4832015335559845, 0.47710609436035156, 0.4892590641975403, 0.4773900508880615, 0.486950159072876, 0.47754815220832825, 0.4830571115016937, 0.4786911904811859, 0.4809061288833618, 0.4780798852443695, 0.4867115914821625, 0.4765211343765259, 0.4874817728996277, 0.4784487187862396, 0.4817897081375122, 0.47834163904190063, 0.4803488850593567, 0.4785865843296051, 0.48184385895729065, 0.4757637083530426, 0.4883224368095398, 0.4770076870918274, 0.48375260829925537, 0.47647228837013245, 0.480000764131546, 0.4771284759044647, 0.4780435562133789, 0.4758497178554535, 0.48165687918663025, 0.4735274612903595, 0.48684388399124146, 0.4754287600517273, 0.48515212535858154, 0.4797689914703369, 0.4798312783241272, 0.4764384329319, 0.4754820168018341, 0.4740331172943115, 0.4767286777496338, 0.47351348400115967, 0.48172691464424133, 0.4724956750869751, 0.48188096284866333, 0.47550827264785767, 0.4796368479728699, 0.4766537547111511, 0.4778232276439667, 0.4776133596897125, 0.48156285285949707, 0.47386038303375244, 0.48345643281936646, 0.4775826334953308, 0.4824528396129608, 0.47680598497390747, 0.4782392084598541, 0.476360023021698, 0.4759313464164734, 0.47558510303497314, 0.48206061124801636, 0.4761309027671814, 0.4816248416900635, 0.47942328453063965, 0.48381394147872925, 0.4794052839279175, 0.47543758153915405, 0.4747471511363983, 0.47463417053222656, 0.4726369380950928, 0.4788846969604492, 0.471841037273407, 0.4837789833545685, 0.48030412197113037, 0.4802316427230835, 0.4821045696735382, 0.47448182106018066, 0.47527778148651123, 0.4726129174232483, 0.47640103101730347, 0.47199153900146484, 0.4838777482509613, 0.4807814657688141, 0.4825085401535034, 0.48304039239883423, 0.4755550026893616, 0.47723907232284546, 0.4733314514160156, 0.4750736951828003, 0.476150244474411, 0.47849205136299133, 0.47665345668792725, 0.4820862114429474, 0.4800540506839752, 0.4842144846916199, 0.48367369174957275, 0.4783237874507904, 0.4805125296115875, 0.4777628779411316, 0.4792562425136566, 0.4784921705722809, 0.47879916429519653, 0.4852573871612549, 0.48170188069343567, 0.4842127859592438, 0.4870204031467438, 0.48099133372306824, 0.4822984039783478, 0.48062026500701904, 0.4806356728076935, 0.4846842885017395, 0.4822431802749634, 0.4845118820667267, 0.48796141147613525, 0.4821646511554718, 0.48473232984542847, 0.4835861921310425, 0.4846618175506592, 0.4857214391231537, 0.48641476035118103, 0.4867120087146759, 0.4850136637687683, 0.48561808466911316, 0.48614177107810974, 0.48860272765159607, 0.48710525035858154, 0.48788225650787354, 0.48615866899490356, 0.48926466703414917, 0.4890642464160919, 0.4916662871837616, 0.4892444610595703, 0.490986704826355, 0.4884229898452759, 0.4897061586380005, 0.4878571033477783, 0.48831021785736084, 0.4926512539386749, 0.48927223682403564, 0.49284911155700684, 0.4946754574775696, 0.4927152395248413, 0.49427711963653564, 0.4940049350261688, 0.49094104766845703, 0.4958937168121338, 0.4956066906452179, 0.49442681670188904, 0.5018107295036316, 0.49996650218963623, 0.4973268508911133, 0.49864673614501953, 0.49477019906044006, 0.4963913857936859, 0.4933267831802368, 0.4987902045249939, 0.4956584870815277, 0.49902695417404175, 0.49878764152526855, 0.5011319518089294, 0.5004615187644958, 0.5003034472465515, 0.5009675025939941, 0.4988357424736023, 0.5006084442138672, 0.5017379522323608, 0.5028868317604065, 0.5054864287376404, 0.5028272867202759, 0.5046653747558594, 0.5029199123382568, 0.5053899884223938, 0.5030769109725952, 0.5068457126617432, 0.5040472149848938, 0.5091880559921265, 0.5052091479301453, 0.5085639357566833, 0.5073975324630737, 0.5110688805580139, 0.5092944502830505, 0.5106570720672607, 0.5091442465782166, 0.5103954076766968, 0.5089388489723206, 0.5102917551994324, 0.5116941332817078, 0.5121780633926392, 0.5139952898025513, 0.5102761387825012, 0.5135560035705566, 0.5121603608131409, 0.5160947442054749, 0.5169147849082947, 0.5139065384864807, 0.5160926580429077, 0.5186276435852051, 0.5169708728790283, 0.5198200345039368, 0.5190429091453552, 0.5214765667915344, 0.5219709277153015, 0.5207356810569763, 0.5247563123703003, 0.5231841802597046, 0.5299472212791443, 0.5265697240829468, 0.531972348690033, 0.5248079895973206, 0.5246105790138245, 0.5333394408226013, 0.528628945350647, 0.5334497690200806, 0.5326585173606873, 0.529797375202179, 0.5362047553062439, 0.5282160043716431, 0.537356972694397, 0.5302363634109497, 0.5393697619438171, 0.5280922055244446, 0.5424964427947998, 0.5310593247413635, 0.5419825911521912, 0.5284435153007507, 0.5437357425689697, 0.5291168689727783, 0.5458680987358093, 0.5280434489250183, 0.5436051487922668, 0.5286920070648193, 0.5416204333305359, 0.5328122973442078, 0.5447776317596436, 0.5333669185638428, 0.5442199110984802, 0.5335522294044495, 0.5463476777076721, 0.5361482501029968, 0.5445378422737122, 0.5334299802780151, 0.5456688404083252, 0.5379024744033813]"
train_predict,"[3.6363175, 4.180324, 3.7201238, 3.5443687, 3.7479613, 3.6892033, 4.145973, 3.8106437, 3.7552953, 3.177961, 3.7156715, 3.7748597, 4.486382, 3.6735659, 4.0516334, 3.3297143, 4.2481594, 3.6522207, 4.8212614, 3.9451766, 3.2748728, 4.757546, 3.7523596, 4.03021, 3.9395251, 3.2088394, 3.7269223, 4.1322465, 3.8952708, 3.358234, 4.1214113, 3.818239, 3.5931983, 3.1745415, 3.8690255, 3.7196143, 3.2632039, 3.9041815, 3.6186872, 3.687644, 3.1957612, 4.911283, 4.358027, 3.4092984, 3.9946866, 3.934464, 2.9906774, 3.7261868, 3.85529, 3.7870386, 3.5403805, 3.3372378, 3.1476707, 2.798746, 3.9715152, 4.2371745, 3.7184985, 3.1169217, 3.2086337, 3.1564271, 3.8392887, 4.555286, 3.3064423, 3.4926739, 4.3831115, 4.321035, 4.7846355, 3.126696, 4.163179, 3.2669282, 2.9802303, 3.20218, 4.356924, 3.3103843, 4.2780514, 4.11394, 4.1134515, 3.636673, 3.8944063, 3.648398, 3.9661005, 3.6385536, 4.0904794, 4.180591, 3.9878993, 4.032481, 3.0888338, 4.295615, 4.01332, 3.731087, 4.320831, 3.254928, 3.7340655, 4.373564, 3.835619, 3.9600983, 4.365601, 2.8678305, 5.02295, 3.897737]"
train_label_list,"[3.8110137, 4.3342147, 4.790879, 5.179062, 2.8220203, 3.4309669, 3.0361052, 4.1069384, 3.7137434, 3.0009637, 3.0483203, 3.5528545, 4.8445625, 2.968745, 3.6955805, 3.149718, 4.1792817, 4.501118, 3.6889427, 4.2361865, 3.5222664, 3.007571, 4.5792503, 3.7215426, 4.8823714, 3.883848, 4.802584, 5.075447, 4.957371, 3.6579592, 5.0134945, 4.97508, 3.6162305, 3.0007896, 4.5937324, 5.040615, 2.9882002, 3.6853552, 3.980075, 1.5971591, 3.7751527, 5.0240912, 4.2469864, 3.775006, 4.161539, 3.7462533, 2.996456, 4.0180144, 5.286265, 3.4651616, 4.175215, 3.0343435, 3.3640053, 2.8158836, 3.3488965, 4.815948, 3.8992598, 3.197478, 2.7164114, 4.1414638, 3.124526, 5.041628, 3.025709, 3.1925216, 4.0991116, 4.295012, 3.9104795, 2.8273563, 3.7289028, 3.9942548, 3.4030366, 3.8516636, 4.5314507, 4.2514286, 3.5036542, 3.7095125, 4.1822925, 2.9775531, 3.9903014, 4.226387, 5.1450014, 3.0205467, 4.492175, 3.2618477, 3.3174481, 5.07451, 2.7007375, 3.0126696, 3.0425541, 3.4570415, 3.6222715, 3.0763543, 5.3920856, 4.929547, 3.1292481, 4.9884987, 3.3349128, 4.315406, 4.734175, 4.401991]"
validation_pred_list,"[3.6363175, 4.180324, 3.7201238, 3.5443687, 3.7479613, 3.6892033, 4.145973, 3.8106437, 3.7552953, 3.177961, 3.7156715, 3.7748597, 4.486382, 3.6735659, 4.0516334, 3.3297143, 4.2481594, 3.6522207, 4.8212614, 3.9451766, 3.2748728, 4.757546, 3.7523596, 4.03021, 3.9395251, 3.2088394, 3.7269223, 4.1322465, 3.8952708, 3.358234, 4.1214113, 3.818239, 3.5931983, 3.1745415, 3.8690255, 3.7196143, 3.2632039, 3.9041815, 3.6186872, 3.687644, 3.1957612, 4.911283, 4.358027, 3.4092984, 3.9946866, 3.934464, 2.9906774, 3.7261868, 3.85529, 3.7870386, 3.5403805, 3.3372378, 3.1476707, 2.798746, 3.9715152, 4.2371745, 3.7184985, 3.1169217, 3.2086337, 3.1564271, 3.8392887, 4.555286, 3.3064423, 3.4926739, 4.3831115, 4.321035, 4.7846355, 3.126696, 4.163179, 3.2669282, 2.9802303, 3.20218, 4.356924, 3.3103843, 4.2780514, 4.11394, 4.1134515, 3.636673, 3.8944063, 3.648398, 3.9661005, 3.6385536, 4.0904794, 4.180591, 3.9878993, 4.032481, 3.0888338, 4.295615, 4.01332, 3.731087, 4.320831, 3.254928, 3.7340655, 4.373564, 3.835619, 3.9600983, 4.365601, 2.8678305, 5.02295, 3.897737]"
validation_label_list,"[3.8110137, 4.3342147, 4.790879, 5.179062, 2.8220203, 3.4309669, 3.0361052, 4.1069384, 3.7137434, 3.0009637, 3.0483203, 3.5528545, 4.8445625, 2.968745, 3.6955805, 3.149718, 4.1792817, 4.501118, 3.6889427, 4.2361865, 3.5222664, 3.007571, 4.5792503, 3.7215426, 4.8823714, 3.883848, 4.802584, 5.075447, 4.957371, 3.6579592, 5.0134945, 4.97508, 3.6162305, 3.0007896, 4.5937324, 5.040615, 2.9882002, 3.6853552, 3.980075, 1.5971591, 3.7751527, 5.0240912, 4.2469864, 3.775006, 4.161539, 3.7462533, 2.996456, 4.0180144, 5.286265, 3.4651616, 4.175215, 3.0343435, 3.3640053, 2.8158836, 3.3488965, 4.815948, 3.8992598, 3.197478, 2.7164114, 4.1414638, 3.124526, 5.041628, 3.025709, 3.1925216, 4.0991116, 4.295012, 3.9104795, 2.8273563, 3.7289028, 3.9942548, 3.4030366, 3.8516636, 4.5314507, 4.2514286, 3.5036542, 3.7095125, 4.1822925, 2.9775531, 3.9903014, 4.226387, 5.1450014, 3.0205467, 4.492175, 3.2618477, 3.3174481, 5.07451, 2.7007375, 3.0126696, 3.0425541, 3.4570415, 3.6222715, 3.0763543, 5.3920856, 4.929547, 3.1292481, 4.9884987, 3.3349128, 4.315406, 4.734175, 4.401991]"
